;Runway 09
N053.19.54.205 W002.53.37.837 N053.19.16.536 W003.08.39.637
N053.20.06.175 W002.53.39.239 N053.19.42.234 W002.53.36.436
N053.20.19.946 W002.55.21.563 N053.19.20.092 W002.55.14.555
N053.19.57.805 W002.56.59.677 N053.19.33.863 W002.56.56.874
N053.20.11.575 W002.58.41.990 N053.19.11.722 W002.58.34.982
N053.19.49.434 W003.00.20.093 N053.19.25.492 W003.00.17.290
N053.20.03.205 W003.02.02.396 N053.19.03.351 W003.01.55.388
N053.19.41.063 W003.03.40.488 N053.19.17.122 W003.03.37.685
N053.19.54.834 W003.05.22.779 N053.18.54.980 W003.05.15.772
N053.19.32.692 W003.07.00.860 N053.19.08.751 W003.06.58.058
N053.19.46.463 W003.08.43.141 N053.18.46.609 W003.08.36.134
;Runway 27
N053.20.08.085 W002.48.17.524 N053.20.45.754 W002.33.15.151
N053.20.20.056 W002.48.18.925 N053.19.56.115 W002.48.16.122
N053.20.42.198 W002.46.40.787 N053.19.42.344 W002.46.33.777
N053.20.28.427 W002.44.58.436 N053.20.04.485 W002.44.55.633
N053.20.50.568 W002.43.20.287 N053.19.50.715 W002.43.13.277
N053.20.36.798 W002.41.37.926 N053.20.12.856 W002.41.35.122
N053.20.58.939 W002.39.59.765 N053.19.59.085 W002.39.52.755
N053.20.58.939 W002.39.59.765 N053.19.59.085 W002.39.52.755
N053.21.07.310 W002.36.39.221 N053.20.07.456 W002.36.32.211
N053.21.15.681 W002.33.18.656 N053.20.15.827 W002.33.11.645
